使用组织,编码,名称,规格型号,产品类型,基本单位,物料分组,备注
"UnitX, Inc.",11900K,CPU,i7-11700k,配件,Pcs,原材料,
"UnitX, Inc.",12900K,CPU,i9-12900k,配件,Pcs,原材料,
"UnitX, Inc.",3M8926-02,3M胶,3M胶/8926/0.2mm,配件,Pcs,原材料,
"UnitX, Inc.",503480-2400,连接器,Molex/503480-2400,配件,Pcs,原材料,
"UnitX, Inc.",5034803200,连接器,5034803200,配件,Pcs,原材料,
"UnitX, Inc.",9700,CPU,i7-9700,配件,Pcs,原材料,
"UnitX, Inc.",AP-240821GY-plate,亚克力板,光滑亚克力板,配件,Pcs,原材料,
"UnitX, Inc.",BCS-240822GY,扫码枪,扫码枪/读码器,配件,Pcs,原材料,
"UnitX, Inc.",C236,主板,C236,配件,Pcs,原材料,
"UnitX, Inc.",C3060,显卡,GPU 3060,配件,Pcs,原材料,
"UnitX, Inc.",C4060,显卡,4060显卡，显存OC-8GD,配件,Pcs,原材料,
"UnitX, Inc.",C4060T,显卡,GPU4060Ti,产品,Pcs,原材料,
"UnitX, Inc.",C4070T,显卡,GPU4070Ti,产品,Pcs,原材料,
"UnitX, Inc.",C4080,显卡,GPU 4080,配件,Pcs,原材料,
"UnitX, Inc.",CARTON-001,普通纸箱,普通纸箱，牛皮瓦楞纸,配件,Pcs,原材料,
"UnitX, Inc.",CARTON-Mini,彩印纸箱-Mini,彩印纸箱,配件,Pcs,原材料,
"UnitX, Inc.",CARTON-V4,彩印纸箱-V4,彩印纸箱,配件,Pcs,原材料,
"UnitX, Inc.",CARTON-V5,彩印纸箱-V5,彩印纸箱,配件,Pcs,原材料,
"UnitX, Inc.",CBA0-05-220CC-C16,工业相机,a2A2448-210cc,产品,Pcs,成品,a2A2448-210cc 高速相机
"UnitX, Inc.",CBA0-05-75CU-C16,工业相机,acA2440-75uc,配件,Pcs,成品,acA2440-75uc/(2/3")/75fps/hirose-6p
"UnitX, Inc.",CBA1-05-20CE-C16,工业相机,acA2440-20gc,产品,Pcs,成品,acA2440-20gc/(2/3")20fps/网口供电
"UnitX, Inc.",CBA1-05-35CU-C16,工业相机,acA2440-35uc,配件,Pcs,成品,acA2440-35uc/(2/3")/35fps/hirose-6p
"UnitX, Inc.",CBA2-12-20CU-C16,工业相机,acA4112-20uc,产品,Pcs,成品,acA4112-20uc/(1.1")/23fps/hirose-6p
"UnitX, Inc.",CBA3-05-75CU-C26,工业相机,a2A2448-75ucBAC,配件,Pcs,成品,a2A2448-75ucBAC/(1/1.8")/75fps/M8-6P
"UnitX, Inc.",CBA4-12-30CU-C26,工业相机,a2A4096-30ucBAC,产品,Pcs,成品,a2A4096-30ucBAC/(1/1.1")/30fps/M8-6P
"UnitX, Inc.",CBA5-24-15CU-C26,工业相机,a2A5238-15ucPRO/BAS,产品,Pcs,成品,a2A5238-15ucPRO/BAS/1.2"/ 15fps/5328 x 4608/M8-6P
"UnitX, Inc.",CBAC-10-10CE-C16,工业相机,acA3800-10gc,产品,Pcs,成品,acA3800-10gc/10fps/网口供电
"UnitX, Inc.",CC1,平垫圈,1mm,配件,Pcs,原材料,
"UnitX, Inc.",CC10,平垫圈,10mm,配件,Pcs,原材料,
"UnitX, Inc.",CC2,平垫圈,2mm,配件,Pcs,原材料,
"UnitX, Inc.",CC5,平垫圈,5mm,配件,Pcs,原材料,
"UnitX, Inc.",CD-10-S-C,USB3.0相机线,光纤（10m)/optical fiber ，10m,配件,Pcs,原材料,
"UnitX, Inc.",CD-3-S-C,USB3.0相机线,铜芯（3m）/copper，3m,配件,Pcs,原材料,
"UnitX, Inc.",CD-5-S-C,USB3.0相机线,光纤（5m)/optical fiber ，5m,配件,Pcs,原材料,
"UnitX, Inc.",CEE-W680-13700K-5M322-S,工控机,6045UL/W680/I7-13700K/DDR5 4800 32G*2/UL-1200W,产品,Pcs,成品,
"UnitX, Inc.",CEP-W680-13700K-4080-5M322-SUL,工控机,6042UL/W680/I7-13700K/GPU4080/DDR5 32GX2/UL-1200W,产品,Pcs,半成品,
"UnitX, Inc.",CEP-W680-13700K-5M322-S,工控机,6042UL/W680/I7-13700K/DDR5 4800 32G*2/UL-1200W,产品,Pcs,成品,
"UnitX, Inc.",CEP-W680-13700K-C40801-5M322-U1T2T-S,工控机,6041B/W680/I7-13700K/GPU4080/DDR5 32GX2/U.2 1T+2T/1250W,产品,Pcs,成品,
"UnitX, Inc.",CEP-W680-13700K-C40801-5M322-U1T4T-S,工控机,6041B/W680/I7-13700K/GPU4080/DDR5 32GX2/U.2 1T+4T/1250W,产品,Pcs,成品,
"UnitX, Inc.",CEP-W680-13700K-C40801-5M322-U1T-S,工控机,6041B/W680/I7-13700K/GPU4080/DDR5 32GX2/U.2 1T/1250W,产品,Pcs,成品,
"UnitX, Inc.",CEP-W680-13700K-C40801-5M322-U2T-S,工控机,6041B/W680/I7-13700K/GPU4080/DDR5 32GX2/U.2 2T/1250W,产品,Pcs,成品,
"UnitX, Inc.",Certification service fee,认证服务费,认证费用,配件,Pcs,,
"UnitX, Inc.",CES-C236-9700-C40601-4M162-E1T2T-S,工控机,6041B/C236/I7-9700/GPU4060/DDR4 16GX2/EVO 1T+2T/650W,产品,Pcs,成品,
"UnitX, Inc.",CES-Q570-11900K-C40601-4M322-E1T2T-S,工控机,6041B/Q570/I9-11900K/GPU4060/DDR4 32GX2/EVO 1T+2T/1250W,产品,Pcs,成品,
"UnitX, Inc.",CES-Q570-11900K-C40601-4M322-E1T4T-S,工控机,4041B/Q570/I9-11900K/GPU4060/DDR4 32GX2/EVO 1T+4T/1250W,产品,Pcs,成品,
"UnitX, Inc.",CES-W680-13100-5M162-S,工控机,6042UL/W680/I3-13100/DDR5 4800 16G*2/UL-1200W,产品,Pcs,成品,
"UnitX, Inc.",CES-W680-13700K-C4060T1-5M322-U1T2T-S,工控机,6041B/W680/I7-13700K/GPU4060Ti(16G)/DDR5 32GX2/U.2 1T+2T/1250W,产品,Pcs,成品,
"UnitX, Inc.",CES-W680-13700K-C4060T1-5M322-U1T4T-S,工控机,6041B/W680/I7-13700K/GPU4060Ti(16G)/DDR5 32GX2/U.2 1T+4T/1250W,产品,Pcs,成品,
"UnitX, Inc.",CHA0-05-74CU-C16,工业相机,MV-CH050-10UC,配件,Pcs,成品,MV-CH050-10UC/ 2/3" /74fps/hirose-6p
"UnitX, Inc.",CHA1-05-60CU-C16,工业相机,MV-CS050-10UC,配件,Pcs,成品,MV-CS050-10UC/ 2/3" /60fps/hirose-6p
"UnitX, Inc.",CHA2-12-30CU-C16,工业相机,MV-CH120-10UC,配件,Pcs,成品,MV-CH120-10UC/1.1"/30fps/hirose-6p
